ltla_name,ltla_code,latitude,longitude,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,21/02/2021,1st dose,70-74,4059,4836,0.839330025
Barnet,E09000003,51.61108,-0.21821,08/12/2020,21/02/2021,1st dose,70-74,12806,14410,0.888688411
Bexley,E09000004,51.45823,0.146227,08/12/2020,21/02/2021,1st dose,70-74,9800,10250,0.956097561
Brent,E09000005,51.56441,-0.27568,08/12/2020,21/02/2021,1st dose,70-74,7961,9845,0.808633824
Bromley,E09000006,51.37267,0.039246,08/12/2020,21/02/2021,1st dose,70-74,14478,15383,0.941168823
Camden,E09000007,51.54306,-0.16289,08/12/2020,21/02/2021,1st dose,70-74,5761,8603,0.669650122
Croydon,E09000008,51.36598,-0.07761,08/12/2020,21/02/2021,1st dose,70-74,11998,13362,0.897919473
Ealing,E09000009,51.52443,-0.31407,08/12/2020,21/02/2021,1st dose,70-74,10005,10855,0.921695071
Enfield,E09000010,51.64888,-0.08147,08/12/2020,21/02/2021,1st dose,70-74,9770,10921,0.894606721
Greenwich,E09000011,51.46393,0.050107,08/12/2020,21/02/2021,1st dose,70-74,7104,8074,0.879861283
Hackney,E09000012,51.55492,-0.06045,08/12/2020,21/02/2021,1st dose,70-74,4706,5876,0.800884956
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,21/02/2021,1st dose,70-74,4235,5365,0.789375582
Haringey,E09000014,51.58771,-0.10667,08/12/2020,21/02/2021,1st dose,70-74,6043,7154,0.844702264
Harrow,E09000015,51.59467,-0.33603,08/12/2020,21/02/2021,1st dose,70-74,8975,9792,0.916564542
Havering,E09000016,51.56519,0.235368,08/12/2020,21/02/2021,1st dose,70-74,11253,11960,0.940886288
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,21/02/2021,1st dose,70-74,9540,10449,0.913006029
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,21/02/2021,1st dose,70-74,7907,8538,0.926095104
Islington,E09000019,51.54548,-0.10992,08/12/2020,21/02/2021,1st dose,70-74,4731,5651,0.837196956
Kensington and Chelsea,E09000020,51.49644,-0.18976,08/12/2020,21/02/2021,1st dose,70-74,4417,6734,0.655925156
Kingston upon Thames,E09000021,51.39296,-0.28367,08/12/2020,21/02/2021,1st dose,70-74,6134,6460,0.949535604
Lambeth,E09000022,51.46445,-0.11385,08/12/2020,21/02/2021,1st dose,70-74,5700,6650,0.857142857
Lewisham,E09000023,51.44231,-0.01733,08/12/2020,21/02/2021,1st dose,70-74,5938,7101,0.836220251
Merton,E09000024,51.41057,-0.18867,08/12/2020,21/02/2021,1st dose,70-74,6240,6684,0.933572711
Newham,E09000025,51.53147,0.027289,08/12/2020,21/02/2021,1st dose,70-74,5172,6507,0.79483633
Redbridge,E09000026,51.58589,0.070071,08/12/2020,21/02/2021,1st dose,70-74,8563,9526,0.898908251
Richmond upon Thames,E09000027,51.44035,-0.28914,08/12/2020,21/02/2021,1st dose,70-74,7986,8506,0.938866682
Southwark,E09000028,51.46592,-0.07306,08/12/2020,21/02/2021,1st dose,70-74,5530,6822,0.810612724
Sutton,E09000029,51.35756,-0.17227,08/12/2020,21/02/2021,1st dose,70-74,7740,8335,0.928614277
Tower Hamlets,E09000030,51.51554,-0.03643,08/12/2020,21/02/2021,1st dose,70-74,3679,4999,0.735947189
Waltham Forest,E09000031,51.59461,-0.01881,08/12/2020,21/02/2021,1st dose,70-74,6109,7494,0.815185482
Wandsworth,E09000032,51.4524,-0.20023,08/12/2020,21/02/2021,1st dose,70-74,7332,8167,0.897759275
Westminster,E09000033,51.5122,-0.15295,08/12/2020,21/02/2021,1st dose,70-74,5026,8237,0.610173607
Barking and Dagenham,E09000002,51.54555,0.129479,08/12/2020,21/02/2021,1st dose,75-79,2805,3339,0.840071878
Barnet,E09000003,51.61108,-0.21821,08/12/2020,21/02/2021,1st dose,75-79,9464,10286,0.920085553
Bexley,E09000004,51.45823,0.146227,08/12/2020,21/02/2021,1st dose,75-79,7332,7534,0.973188213
Brent,E09000005,51.56441,-0.27568,08/12/2020,21/02/2021,1st dose,75-79,5888,7339,0.80228914
Bromley,E09000006,51.37267,0.039246,08/12/2020,21/02/2021,1st dose,75-79,10654,10705,0.995235871
Camden,E09000007,51.54306,-0.16289,08/12/2020,21/02/2021,1st dose,75-79,4357,5890,0.739728353
Croydon,E09000008,51.36598,-0.07761,08/12/2020,21/02/2021,1st dose,75-79,8527,9457,0.901660146
Ealing,E09000009,51.52443,-0.31407,08/12/2020,21/02/2021,1st dose,75-79,7093,7907,0.897053244
Enfield,E09000010,51.64888,-0.08147,08/12/2020,21/02/2021,1st dose,75-79,7214,8490,0.849705536
Greenwich,E09000011,51.46393,0.050107,08/12/2020,21/02/2021,1st dose,75-79,5009,5356,0.935212845
Hackney,E09000012,51.55492,-0.06045,08/12/2020,21/02/2021,1st dose,75-79,3058,3981,0.768148706
Hammersmith and Fulham,E09000013,51.48733,-0.21735,08/12/2020,21/02/2021,1st dose,75-79,3001,3731,0.804341999
Haringey,E09000014,51.58771,-0.10667,08/12/2020,21/02/2021,1st dose,75-79,4121,4858,0.848291478
Harrow,E09000015,51.59467,-0.33603,08/12/2020,21/02/2021,1st dose,75-79,6764,7131,0.948534567
Havering,E09000016,51.56519,0.235368,08/12/2020,21/02/2021,1st dose,75-79,8226,8453,0.973145629
Hillingdon,E09000017,51.53663,-0.44182,08/12/2020,21/02/2021,1st dose,75-79,6949,7522,0.923823451
Hounslow,E09000018,51.46243,-0.37847,08/12/2020,21/02/2021,1st dose,75-79,5432,5929,0.916174734
Islington,E09000019,51.54548,-0.10992,08/12/2020,21/02/2021,1st dose,75-79,3186,3865,0.824320828
